date,city,state,url,fuel_type,average,price
2019-11-15,Hinesville-Fort Stewart,GA,https://gasprices.aaa.com/?state=GA,Regular,Month Ago Avg.,2.461
2019-11-15,Hinesville-Fort Stewart,GA,https://gasprices.aaa.com/?state=GA,Mid,Month Ago Avg.,2.707
2019-11-15,Hinesville-Fort Stewart,GA,https://gasprices.aaa.com/?state=GA,Premium,Month Ago Avg.,3.112
2019-11-15,Hinesville-Fort Stewart,GA,https://gasprices.aaa.com/?state=GA,Diesel,Month Ago Avg.,2.991
2019-11-15,Hinesville-Fort Stewart,GA,https://gasprices.aaa.com/?state=GA,Regular,Year Ago Avg.,2.637
2019-11-15,Hinesville-Fort Stewart,GA,https://gasprices.aaa.com/?state=GA,Mid,Year Ago Avg.,2.945
2019-11-15,Hinesville-Fort Stewart,GA,https://gasprices.aaa.com/?state=GA,Premium,Year Ago Avg.,3.229
2019-11-15,Hinesville-Fort Stewart,GA,https://gasprices.aaa.com/?state=GA,Diesel,Year Ago Avg.,3.273
2019-11-15,Macon,GA,https://gasprices.aaa.com/?state=GA,Regular,Current Avg.,2.407
2019-11-15,Macon,GA,https://gasprices.aaa.com/?state=GA,Mid,Current Avg.,2.72
2019-11-15,Macon,GA,https://gasprices.aaa.com/?state=GA,Premium,Current Avg.,3.01
2019-11-15,Macon,GA,https://gasprices.aaa.com/?state=GA,Diesel,Current Avg.,3.011
2019-11-15,Macon,GA,https://gasprices.aaa.com/?state=GA,Regular,Yesterday Avg.,2.403
2019-11-15,Macon,GA,https://gasprices.aaa.com/?state=GA,Mid,Yesterday Avg.,2.711
2019-11-15,Macon,GA,https://gasprices.aaa.com/?state=GA,Premium,Yesterday Avg.,3.038
2019-11-15,Macon,GA,https://gasprices.aaa.com/?state=GA,Diesel,Yesterday Avg.,3
2019-11-15,Macon,GA,https://gasprices.aaa.com/?state=GA,Regular,Week Ago Avg.,2.389
2019-11-15,Macon,GA,https://gasprices.aaa.com/?state=GA,Mid,Week Ago Avg.,2.72
2019-11-15,Macon,GA,https://gasprices.aaa.com/?state=GA,Premium,Week Ago Avg.,3.028
2019-11-15,Macon,GA,https://gasprices.aaa.com/?state=GA,Diesel,Week Ago Avg.,3.005
